0,38
1,11
2,14
3,19
4,18
5,17
6,16
7,18
8,16
9,12
10,15
11,23
12,18
13,17
14,18
15,19
16,13
17,16
18,19
19,22
20,18
21,21
22,15
23,18
24,16
25,18
26,23
27,10
28,21
29,34
30,18
31,18
32,19
33,18
34,21
35,18
36,27
37,20
38,20
39,33
40,19
41,19
42,23
43,22
44,18
45,24
46,22
47,19
48,20
49,21
50,22
51,24
52,20
53,23
54,24
55,25
56,21
57,25
58,27
59,21
60,22
61,27
62,23
63,21
64,30
65,24
66,24
67,29
68,22
69,22
70,23
71,21
72,26
73,26
74,19
75,33
76,26
77,18
78,30
79,24
80,22
81,31
82,24
83,21
84,27
85,26
86,21
87,27
88,26
89,20
90,32
91,25
92,21
93,27
94,28
95,21
96,39
97,28
98,21
99,33
100,30
101,20
102,31
103,29
104,24
105,32
106,31
107,32
108,26
109,26
110,32
111,28
112,26
113,27
114,25
115,24
116,33
117,28
118,26
119,35
120,28
121,25
122,40
123,29
124,24
125,31
126,30
127,24
128,39
129,33
130,24
131,38
132,31
133,26
134,30
135,31
136,27
137,33
138,27
139,31
140,33
141,25
142,43
143,32
144,23
145,36
146,32
147,26
148,41
149,29
150,31
151,31
152,28
153,39
154,31
155,28
156,41
157,34
158,23
159,38
160,35
161,29
162,33
163,33
164,30
165,31
166,30
167,34
168,33
169,26
170,39
171,36
172,28
173,38
174,34
175,32
176,33
177,33
178,32
179,36
180,32
181,33
182,38
183,31
184,31
185,34
186,31
187,34
188,34
189,31
190,37
191,33
192,31
193,40
194,34
195,28
196,34
197,35
198,27
199,38
200,37
201,27
202,38
203,36
204,31
205,31
206,35
207,35
208,37
209,32
210,35
211,32
212,31
213,38
214,34
215,29
216,45
217,36
218,27
219,46
220,37
221,29
222,41
223,37
224,28
225,42
226,37
227,30
228,34
229,35
230,34
231,36
232,33
233,37
234,31
235,34
236,37
237,33
238,30
239,39
240,35
241,29
242,54
243,34
244,29
245,47
246,37
247,27
248,41
249,37
250,30
251,40
252,39
253,32
254,38
255,38
256,29
257,37
258,36
259,32
260,35
261,31
262,39
263,41
264,35
265,35
266,35
267,32
268,34
269,36
270,36
271,34
272,45
273,35
274,31
275,38
276,38
277,31
278,39
279,38
280,31
281,39
282,37
283,32
284,40
285,38
286,27
287,44
288,37
289,31
290,37
291,36
292,39
293,36
294,36
295,43
296,35
297,31
298,35
299,35
300,29
301,35
302,35
303,29
304,38
305,36
306,29
307,38
308,38
309,29
310,35
311,37
312,32
313,42
314,35
315,31
316,38
317,38
318,32
319,46
320,40
321,30
322,25
323,41
324,30
325,43
326,40
327,34
328,34
329,38
330,39
331,35
332,34
333,39
334,36
335,32
336,46
337,39
338,30
339,38
340,39
341,34
342,38
343,38
344,33
345,38
346,37
347,32
348,36
349,34
350,42
351,38
352,34
353,42
354,37
355,34
356,39
357,38
358,33
359,46
360,35
361,33
362,37
363,40
364,31
365,53
366,40
367,31
368,57
369,41
370,31
371,27
372,39
373,31
374,48
375,38
376,30
377,50
378,40
379,31
380,47
381,39
382,33
383,40
384,37
385,35
386,44
387,39
388,34
389,45
390,36
391,37
392,45
393,38
394,33
395,49
396,38
397,33
398,50
399,40
400,32
401,46
402,41
403,31
404,43
405,40
406,31
407,44
408,42
409,31
410,42
411,41
412,37
413,43
414,40
415,35
416,40
417,39
418,37
419,43
420,40
421,36
422,43
423,31
424,40
425,38
426,32
427,36
428,39
429,33
430,41
431,41
432,48
433,30
434,42
435,40
436,37
437,47
438,30
439,41
440,36
441,44
442,43
443,33
444,39
445,33
446,48
447,36
448,51
449,40
450,37
451,48
452,34
453,39
454,39
455,40
456,45
457,30
458,44
459,35
460,45
461,43
462,31
463,43
464,35
465,37
466,42
467,33
468,44
469,38
470,38
471,45
472,32
473,43
474,39
475,36
476,42
477,38
478,36
479,34
480,42
481,42
482,41
483,37
484,34
485,31
486,41
487,49
488,40
489,40
490,41
491,39
492,40
493,44
494,30
495,42
496,42
497,40
498,39
499,36
500,41
501,40
502,40
503,41
504,40
505,33
506,34
507,38
508,36
509,49
510,21
511,36
